Epoch,Accuracy,Loss
1,55.379999999999995,1.2519
2,65.66,1.0532
3,68.86,0.9978
4,71.24000000000001,0.9561
5,72.28999999999999,0.9432
6,73.98,0.9036
7,75.31,0.8906
8,75.53,0.8843
9,76.73,0.8584
10,77.42,0.8494
11,78.3,0.8352
12,79.53,0.811
13,80.71000000000001,0.7966
14,81.01,0.7833
15,81.51,0.7722
16,82.86,0.7578
17,84.48,0.7307
18,85.11,0.7179
19,85.14,0.7182
20,86.1,0.6974
21,86.85000000000001,0.6844
22,87.88,0.6698
23,88.96,0.6508
24,89.32,0.6477
25,90.10000000000001,0.6264
26,90.5,0.6203
27,91.41,0.6088
28,91.64,0.6072
29,91.64,0.6031
30,92.34,0.5919
31,92.64,0.5842
32,92.67999999999999,0.5846
33,93.13,0.5753
34,93.25,0.5705
35,93.82000000000001,0.5619
36,93.99,0.5581
37,94.88,0.5445
38,94.17999999999999,0.5522
39,94.27,0.549
40,94.71000000000001,0.5419
41,95.24000000000001,0.5321
42,94.77,0.5412
43,95.50999999999999,0.5291
44,95.89999999999999,0.5209
45,95.65,0.5232
46,95.5,0.5241
47,95.73,0.5226
48,96.37,0.5126
49,96.7,0.5063
50,96.21,0.5128
51,96.61,0.5089
52,96.8,0.5043
53,96.45,0.5074
54,96.85000000000001,0.5007
55,96.86,0.5002
56,97.07000000000001,0.4954
57,96.7,0.4973
58,97.23,0.4915
59,96.93,0.4971
60,96.65,0.501
61,97.18,0.4926
62,97.16,0.4921
63,97.18,0.4923
64,97.05,0.4932
65,96.75,0.4953
66,97.39999999999999,0.4893
67,97.39999999999999,0.4866
68,97.75,0.4818
69,97.8,0.4822
70,97.72999999999999,0.4824
71,97.18,0.4882
72,97.44,0.4821
73,97.77,0.4815
74,97.57000000000001,0.4843
75,97.71,0.4835
76,97.69,0.4796
77,97.86,0.48
78,96.82,0.4952
79,97.64,0.4783
80,97.38,0.4845
